Plot Title: CCP,,
#,"Date Time, GMT-05:00",Temp. °F (LGR S/N: 20462604. SEN S/N: 20462604)
2972,2/26/2019 7:30,60
2973,2/26/2019 8:00,60
2974,2/26/2019 8:30,60
2975,2/26/2019 9:00,60
2976,2/26/2019 9:30,60
2977,2/26/2019 10:00,60
2978,2/26/2019 10:30,60
2979,2/26/2019 11:00,61
2980,2/26/2019 11:30,61
2981,2/26/2019 12:00,61
2982,2/26/2019 12:30,61
2983,2/26/2019 13:00,61
2984,2/26/2019 13:30,62
2985,2/26/2019 14:00,62
2986,2/26/2019 14:30,62
2987,2/26/2019 15:00,63
2988,2/26/2019 15:30,63
2989,2/26/2019 16:00,63
2990,2/26/2019 16:30,62
2991,2/26/2019 17:00,62
2992,2/26/2019 17:30,62
2993,2/26/2019 18:00,62
2994,2/26/2019 18:30,63
2995,2/26/2019 19:00,63
2996,2/26/2019 19:30,62
2997,2/26/2019 20:00,61
2998,2/26/2019 20:30,61
2999,2/26/2019 21:00,61
3000,2/26/2019 21:30,61
3001,2/26/2019 22:00,61
3002,2/26/2019 22:30,61
3003,2/26/2019 23:00,61
3004,2/26/2019 23:30,60
3005,2/27/2019 0:00,60
3006,2/27/2019 0:30,60
3007,2/27/2019 1:00,60
3008,2/27/2019 1:30,60
3009,2/27/2019 2:00,60
3010,2/27/2019 2:30,60
3011,2/27/2019 3:00,60
3012,2/27/2019 3:30,60
3013,2/27/2019 4:00,60
3014,2/27/2019 4:30,60
3015,2/27/2019 5:00,60
3016,2/27/2019 5:30,60
3017,2/27/2019 6:00,60
3018,2/27/2019 6:30,60
3019,2/27/2019 7:00,60
3020,2/27/2019 7:30,60
3021,2/27/2019 8:00,60
3022,2/27/2019 8:30,60
3023,2/27/2019 9:00,60
3024,2/27/2019 9:30,60
3025,2/27/2019 10:00,60
3026,2/27/2019 10:30,60
3027,2/27/2019 11:00,61
3028,2/27/2019 11:30,61
3029,2/27/2019 12:00,61
3030,2/27/2019 12:30,61
3031,2/27/2019 13:00,60
3032,2/27/2019 13:30,61
3033,2/27/2019 14:00,61
3034,2/27/2019 14:30,61
3035,2/27/2019 15:00,61
3036,2/27/2019 15:30,61
3037,2/27/2019 16:00,62
3038,2/27/2019 16:30,62
3039,2/27/2019 17:00,62
3040,2/27/2019 17:30,62
3041,2/27/2019 18:00,62
3042,2/27/2019 18:30,61
3043,2/27/2019 19:00,61
3044,2/27/2019 19:30,60
3045,2/27/2019 20:00,60
3046,2/27/2019 20:30,60
3047,2/27/2019 21:00,60
3048,2/27/2019 21:30,60
3049,2/27/2019 22:00,59
3050,2/27/2019 22:30,59
3051,2/27/2019 23:00,60
3052,2/27/2019 23:30,60
3053,2/28/2019 0:00,59
3054,2/28/2019 0:30,59
3055,2/28/2019 1:00,60
3056,2/28/2019 1:30,60
3057,2/28/2019 2:00,60
3058,2/28/2019 2:30,59
3059,2/28/2019 3:00,59
3060,2/28/2019 3:30,59
3061,2/28/2019 4:00,59
3062,2/28/2019 4:30,59
3063,2/28/2019 5:00,59
3064,2/28/2019 5:30,59
3065,2/28/2019 6:00,59
3066,2/28/2019 6:30,59
3067,2/28/2019 7:00,59
3068,2/28/2019 7:30,59
3069,2/28/2019 8:00,59
3070,2/28/2019 8:30,59
3071,2/28/2019 9:00,59
3072,2/28/2019 9:30,59
3073,2/28/2019 10:00,59
3074,2/28/2019 10:30,59
