Plot Title: Puerto Montt CHILE Site Y,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462593, SEN S/N: 20462593)",Coupler Attached (LGR S/N: 20462593),Host Connected (LGR S/N: 20462593),Stopped (LGR S/N: 20462593),End Of File (LGR S/N: 20462593)
994,2/20/2019 2:30,61.741,,,,
995,2/20/2019 3:00,61.569,,,,
996,2/20/2019 3:30,61.569,,,,
997,2/20/2019 4:00,61.569,,,,
998,2/20/2019 4:30,61.569,,,,
999,2/20/2019 5:00,61.398,,,,
1000,2/20/2019 5:30,61.398,,,,
1001,2/20/2019 6:00,61.398,,,,
1002,2/20/2019 6:30,61.398,,,,
1003,2/20/2019 7:00,61.398,,,,
1004,2/20/2019 7:30,61.398,,,,
1005,2/20/2019 8:00,61.398,,,,
1006,2/20/2019 8:30,61.398,,,,
1007,2/20/2019 9:00,61.398,,,,
1008,2/20/2019 9:30,61.398,,,,
1009,2/20/2019 10:00,61.398,,,,
1010,2/20/2019 10:30,61.398,,,,
1011,2/20/2019 11:00,61.398,,,,
1012,2/20/2019 11:30,61.398,,,,
1013,2/20/2019 12:00,61.398,,,,
1014,2/20/2019 12:30,61.398,,,,
1015,2/20/2019 13:00,61.569,,,,
1016,2/20/2019 13:30,61.398,,,,
1017,2/20/2019 14:00,61.398,,,,
1018,2/20/2019 14:30,61.398,,,,
1019,2/20/2019 15:00,61.398,,,,
1020,2/20/2019 15:30,61.398,,,,
1021,2/20/2019 16:00,61.398,,,,
1022,2/20/2019 16:30,61.398,,,,
1023,2/20/2019 17:00,61.398,,,,
1024,2/20/2019 17:30,61.398,,,,
1025,2/20/2019 18:00,61.398,,,,
1026,2/20/2019 18:30,61.398,,,,
1027,2/20/2019 19:00,61.398,,,,
1028,2/20/2019 19:30,61.398,,,,
1029,2/20/2019 20:00,61.398,,,,
1030,2/20/2019 20:30,61.398,,,,
1031,2/20/2019 21:00,61.398,,,,
1032,2/20/2019 21:30,61.398,,,,
1033,2/20/2019 22:00,61.227,,,,
1034,2/20/2019 22:30,61.227,,,,
1035,2/20/2019 23:00,61.398,,,,
1036,2/20/2019 23:30,61.227,,,,
1037,2/21/2019 0:00,61.227,,,,
