Plot Title: Costa Rica,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350663, SEN S/N: 20350663)",End Of File (LGR S/N: 20350663)
1153,7/4/2018 10:00,29.252,
1154,7/4/2018 10:30,29.352,
1155,7/4/2018 11:00,29.452,
1156,7/4/2018 11:30,29.452,
1157,7/4/2018 12:00,29.552,
1158,7/4/2018 12:30,29.552,
1159,7/4/2018 13:00,29.552,
1160,7/4/2018 13:30,29.953,
1161,7/4/2018 14:00,29.953,
1162,7/4/2018 14:30,29.853,
1163,7/4/2018 15:00,29.853,
1164,7/4/2018 15:30,30.054,
1165,7/4/2018 16:00,30.054,
1166,7/4/2018 16:30,29.853,
1167,7/4/2018 17:00,30.054,
1168,7/4/2018 17:30,29.853,
1169,7/4/2018 18:00,29.953,
1170,7/4/2018 18:30,29.853,
1171,7/4/2018 19:00,29.953,
1172,7/4/2018 19:30,29.953,
1173,7/4/2018 20:00,29.853,
1174,7/4/2018 20:30,29.853,
1175,7/4/2018 21:00,29.853,
1176,7/4/2018 21:30,29.752,
1177,7/4/2018 22:00,29.853,
1178,7/4/2018 22:30,29.953,
1179,7/4/2018 23:00,29.853,
1180,7/4/2018 23:30,29.953,
1181,7/5/2018 0:00,29.853,
1182,7/5/2018 0:30,29.652,
1183,7/5/2018 1:00,29.652,
1184,7/5/2018 1:30,29.752,
1185,7/5/2018 2:00,29.752,
1186,7/5/2018 2:30,29.652,
1187,7/5/2018 3:00,29.652,
1188,7/5/2018 3:30,29.552,
1189,7/5/2018 4:00,29.452,
1190,7/5/2018 4:30,29.252,
1191,7/5/2018 5:00,29.252,
1192,7/5/2018 5:30,29.152,
1193,7/5/2018 6:00,29.152,
1194,7/5/2018 6:30,29.152,
1195,7/5/2018 7:00,29.152,
1196,7/5/2018 7:30,29.152,
1197,7/5/2018 8:00,29.152,
1198,7/5/2018 8:30,29.252,
1199,7/5/2018 9:00,29.252,
1200,7/5/2018 9:30,29.352,
1201,7/5/2018 10:00,29.452,
1202,7/5/2018 10:30,29.452,
1203,7/5/2018 11:00,29.552,
1204,7/5/2018 11:30,29.853,
1205,7/5/2018 12:00,29.853,
1206,7/5/2018 12:30,29.853,
1207,7/5/2018 13:00,29.953,
1208,7/5/2018 13:30,29.853,
1209,7/5/2018 14:00,30.154,
1210,7/5/2018 14:30,30.054,
1211,7/5/2018 15:00,29.853,
1212,7/5/2018 15:30,30.054,
1213,7/5/2018 16:00,29.853,
1214,7/5/2018 16:30,29.752,
1215,7/5/2018 17:00,29.752,
1216,7/5/2018 17:30,29.752,
1217,7/5/2018 18:00,29.652,
1218,7/5/2018 18:30,29.552,
1219,7/5/2018 19:00,29.552,
1220,7/5/2018 19:30,29.552,
1221,7/5/2018 20:00,29.552,
1222,7/5/2018 20:30,29.552,
1223,7/5/2018 21:00,29.552,
1224,7/5/2018 21:30,29.552,
1225,7/5/2018 22:00,29.552,
1226,7/5/2018 22:30,29.552,
1227,7/5/2018 23:00,29.552,
1228,7/5/2018 23:30,29.452,
1229,7/6/2018 0:00,29.452,
1230,7/6/2018 0:30,29.352,
1231,7/6/2018 1:00,29.352,
1232,7/6/2018 1:30,29.252,
1233,7/6/2018 2:00,29.252,
1234,7/6/2018 2:30,29.352,
1235,7/6/2018 3:00,29.252,
1236,7/6/2018 3:30,29.252,
1237,7/6/2018 4:00,29.252,
1238,7/6/2018 4:30,29.252,
1239,7/6/2018 5:00,29.252,
1240,7/6/2018 5:30,29.252,
1241,7/6/2018 6:00,29.252,
1242,7/6/2018 6:30,29.252,
1243,7/6/2018 7:00,29.252,
1244,7/6/2018 7:30,29.252,
1245,7/6/2018 8:00,29.252,
1246,7/6/2018 8:30,29.252,
1247,7/6/2018 9:00,29.352,
1248,7/6/2018 9:30,29.352,
1249,7/6/2018 10:00,29.352,
1250,7/6/2018 10:30,29.352,
1251,7/6/2018 11:00,29.352,
1252,7/6/2018 11:30,29.452,
1253,7/6/2018 12:00,29.452,
1254,7/6/2018 12:30,29.452,
1255,7/6/2018 13:00,29.652,
1256,7/6/2018 13:30,29.552,
1257,7/6/2018 14:00,29.552,
1258,7/6/2018 14:30,29.552,
1259,7/6/2018 15:00,29.452,
1260,7/6/2018 15:30,29.452,
1261,7/6/2018 16:00,29.452,
1262,7/6/2018 16:30,29.752,
1263,7/6/2018 17:00,29.752,
1264,7/6/2018 17:30,29.853,
1265,7/6/2018 18:00,29.752,
1266,7/6/2018 18:30,29.752,
1267,7/6/2018 19:00,29.652,
1268,7/6/2018 19:30,29.552,
1269,7/6/2018 20:00,29.552,
1270,7/6/2018 20:30,29.452,
1271,7/6/2018 21:00,29.452,
1272,7/6/2018 21:30,29.452,
1273,7/6/2018 22:00,29.452,
1274,7/6/2018 22:30,29.452,
1275,7/6/2018 23:00,29.452,
1276,7/6/2018 23:30,29.452,
1277,7/7/2018 0:00,29.352,
1278,7/7/2018 0:30,29.352,
1279,7/7/2018 1:00,29.352,
1280,7/7/2018 1:30,29.352,
1281,7/7/2018 2:00,29.352,
1282,7/7/2018 2:30,29.352,
1283,7/7/2018 3:00,29.352,
1284,7/7/2018 3:30,29.352,
1285,7/7/2018 4:00,29.352,
1286,7/7/2018 4:30,29.352,
1287,7/7/2018 5:00,29.352,
1288,7/7/2018 5:30,29.252,
1289,7/7/2018 6:00,29.252,
1290,7/7/2018 6:30,29.252,
1291,7/7/2018 7:00,29.252,
1292,7/7/2018 7:30,29.252,
1293,7/7/2018 8:00,29.252,
1294,7/7/2018 8:30,29.252,
1295,7/7/2018 9:00,29.252,
1296,7/7/2018 9:30,29.252,
1297,7/7/2018 10:00,29.252,
1298,7/7/2018 10:30,29.452,
1299,7/7/2018 11:00,29.352,
1300,7/7/2018 11:30,29.552,
1301,7/7/2018 12:00,29.752,
1302,7/7/2018 12:30,29.552,
1303,7/7/2018 13:00,29.652,
1304,7/7/2018 13:30,29.652,
1305,7/7/2018 14:00,29.752,
1306,7/7/2018 14:30,29.752,
1307,7/7/2018 15:00,29.953,
1308,7/7/2018 15:30,29.853,
1309,7/7/2018 16:00,29.752,
1310,7/7/2018 16:30,29.552,
1311,7/7/2018 17:00,29.452,
1312,7/7/2018 17:30,29.452,
1313,7/7/2018 18:00,29.552,
1314,7/7/2018 18:30,29.452,
1315,7/7/2018 19:00,29.352,
1316,7/7/2018 19:30,29.352,
1317,7/7/2018 20:00,29.352,
1318,7/7/2018 20:30,29.352,
1319,7/7/2018 21:00,29.352,
1320,7/7/2018 21:30,29.252,
1321,7/7/2018 22:00,29.352,
1322,7/7/2018 22:30,29.252,
1323,7/7/2018 23:00,29.352,
1324,7/7/2018 23:30,29.252,
1325,7/8/2018 0:00,29.252,
1326,7/8/2018 0:30,29.252,
1327,7/8/2018 1:00,29.252,
1328,7/8/2018 1:30,29.252,
1329,7/8/2018 2:00,29.152,
1330,7/8/2018 2:30,29.152,
1331,7/8/2018 3:00,29.152,
1332,7/8/2018 3:30,29.152,
1333,7/8/2018 4:00,29.152,
1334,7/8/2018 4:30,29.152,
1335,7/8/2018 5:00,29.152,
1336,7/8/2018 5:30,29.053,
1337,7/8/2018 6:00,29.053,
1338,7/8/2018 6:30,29.053,
1339,7/8/2018 7:00,29.053,
1340,7/8/2018 7:30,28.953,
1341,7/8/2018 8:00,29.053,
1342,7/8/2018 8:30,29.053,
1343,7/8/2018 9:00,29.152,
1344,7/8/2018 9:30,29.152,
1345,7/8/2018 10:00,29.252,
1346,7/8/2018 10:30,29.352,
1347,7/8/2018 11:00,29.452,
1348,7/8/2018 11:30,29.652,
1349,7/8/2018 12:00,29.853,
1350,7/8/2018 12:30,29.652,
1351,7/8/2018 13:00,29.652,
1352,7/8/2018 13:30,29.752,
1353,7/8/2018 14:00,29.652,
1354,7/8/2018 14:30,29.652,
1355,7/8/2018 15:00,29.853,
1356,7/8/2018 15:30,29.752,
1357,7/8/2018 16:00,29.652,
1358,7/8/2018 16:30,29.652,
1359,7/8/2018 17:00,29.652,
1360,7/8/2018 17:30,29.652,
1361,7/8/2018 18:00,29.853,
1362,7/8/2018 18:30,29.853,
