Plot Title: Newport,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350664, SEN S/N: 20350664)","End Of File (LGR S/N: 20350664, SEN S/N: 20350664)"
1889,7/25/2018 22:00,13.269,
1890,7/25/2018 22:30,13.269,
1891,7/25/2018 23:00,13.076,
1892,7/25/2018 23:30,12.883,
1893,7/26/2018 0:00,13.076,
1894,7/26/2018 0:30,13.076,
1895,7/26/2018 1:00,13.269,
1896,7/26/2018 1:30,13.173,
1897,7/26/2018 2:00,12.883,
1898,7/26/2018 2:30,12.69,
1899,7/26/2018 3:00,12.497,
1900,7/26/2018 3:30,12.401,
1901,7/26/2018 4:00,12.207,
1902,7/26/2018 4:30,11.819,
1903,7/26/2018 5:00,12.013,
1904,7/26/2018 5:30,12.11,
1905,7/26/2018 6:00,12.013,
1906,7/26/2018 6:30,12.207,
1907,7/26/2018 7:00,12.401,
1908,7/26/2018 7:30,12.401,
1909,7/26/2018 8:00,12.304,
1910,7/26/2018 8:30,12.401,
1911,7/26/2018 9:00,12.69,
1912,7/26/2018 9:30,12.883,
1913,7/26/2018 10:00,12.787,
1914,7/26/2018 10:30,13.269,
1915,7/26/2018 11:00,13.173,
1916,7/26/2018 11:30,13.269,
1917,7/26/2018 12:00,13.269,
1918,7/26/2018 12:30,13.076,
1919,7/26/2018 13:00,12.883,
1920,7/26/2018 13:30,12.69,
1921,7/26/2018 14:00,12.594,
1922,7/26/2018 14:30,12.883,
1923,7/26/2018 15:00,12.883,
1924,7/26/2018 15:30,12.787,
1925,7/26/2018 16:00,12.207,
1926,7/26/2018 16:30,12.207,
1927,7/26/2018 17:00,12.11,
1928,7/26/2018 17:30,12.304,
1929,7/26/2018 18:00,12.497,
1930,7/26/2018 18:30,12.11,
1931,7/26/2018 19:00,12.013,
1932,7/26/2018 19:30,11.916,
1933,7/26/2018 20:00,12.11,
1934,7/26/2018 20:30,12.787,
1935,7/26/2018 21:00,12.883,
1936,7/26/2018 21:30,13.173,
1937,7/26/2018 22:00,13.173,
1938,7/26/2018 22:30,13.365,
1939,7/26/2018 23:00,13.269,
1940,7/26/2018 23:30,13.173,
1941,7/27/2018 0:00,13.269,
1942,7/27/2018 0:30,13.461,
1943,7/27/2018 1:00,13.365,
1944,7/27/2018 1:30,13.173,
1945,7/27/2018 2:00,13.076,
1946,7/27/2018 2:30,13.173,
1947,7/27/2018 3:00,12.98,
1948,7/27/2018 3:30,12.69,
1949,7/27/2018 4:00,12.207,
1950,7/27/2018 4:30,11.916,
1951,7/27/2018 5:00,11.916,
1952,7/27/2018 5:30,12.11,
1953,7/27/2018 6:00,12.013,
1954,7/27/2018 6:30,12.11,
1955,7/27/2018 7:00,12.207,
1956,7/27/2018 7:30,12.207,
1957,7/27/2018 8:00,12.207,
1958,7/27/2018 8:30,12.207,
1959,7/27/2018 9:00,12.401,
1960,7/27/2018 9:30,12.787,
1961,7/27/2018 10:00,12.98,
1962,7/27/2018 10:30,12.787,
1963,7/27/2018 11:00,13.269,
1964,7/27/2018 11:30,13.269,
1965,7/27/2018 12:00,13.461,
1966,7/27/2018 12:30,13.269,
1967,7/27/2018 13:00,13.173,
1968,7/27/2018 13:30,12.98,
1969,7/27/2018 14:00,12.69,
1970,7/27/2018 14:30,12.883,
1971,7/27/2018 15:00,13.173,
1972,7/27/2018 15:30,13.173,
1973,7/27/2018 16:00,13.076,
1974,7/27/2018 16:30,13.076,
1975,7/27/2018 17:00,13.173,
1976,7/27/2018 17:30,12.98,
1977,7/27/2018 18:00,12.98,
1978,7/27/2018 18:30,12.69,
1979,7/27/2018 19:00,13.365,
1980,7/27/2018 19:30,12.98,
1981,7/27/2018 20:00,13.365,
1982,7/27/2018 20:30,13.076,
1983,7/27/2018 21:00,13.654,
1984,7/27/2018 21:30,13.558,
1985,7/27/2018 22:00,13.654,
1986,7/27/2018 22:30,13.365,
1987,7/27/2018 23:00,13.173,
1988,7/27/2018 23:30,12.69,
1989,7/28/2018 0:00,12.787,
1990,7/28/2018 0:30,12.401,
1991,7/28/2018 1:00,12.304,
1992,7/28/2018 1:30,12.207,
1993,7/28/2018 2:00,12.013,
1994,7/28/2018 2:30,12.013,
1995,7/28/2018 3:00,11.819,
1996,7/28/2018 3:30,12.11,
1997,7/28/2018 4:00,12.11,
1998,7/28/2018 4:30,11.625,
1999,7/28/2018 5:00,11.819,
2000,7/28/2018 5:30,11.431,
2001,7/28/2018 6:00,11.236,
2002,7/28/2018 6:30,11.139,
2003,7/28/2018 7:00,10.944,
2004,7/28/2018 7:30,10.846,
2005,7/28/2018 8:00,10.748,
2006,7/28/2018 8:30,10.748,
2007,7/28/2018 9:00,10.944,
2008,7/28/2018 9:30,10.944,
2009,7/28/2018 10:00,11.041,
2010,7/28/2018 10:30,11.041,
2011,7/28/2018 11:00,11.334,
2012,7/28/2018 11:30,12.497,
2013,7/28/2018 12:00,12.497,
2014,7/28/2018 12:30,12.497,
2015,7/28/2018 13:00,12.69,
2016,7/28/2018 13:30,12.497,
2017,7/28/2018 14:00,12.401,
2018,7/28/2018 14:30,12.304,
2019,7/28/2018 15:00,12.013,
2020,7/28/2018 15:30,12.013,
2021,7/28/2018 16:00,12.013,
2022,7/28/2018 16:30,12.304,
2023,7/28/2018 17:00,12.013,
2024,7/28/2018 17:30,12.207,
2025,7/28/2018 18:00,12.207,
2026,7/28/2018 18:30,12.013,
