Plot Title: Santa Marta,,,,,,
#,"Date Time, GMT-05:00","Temp, øF (LGR S/N: 20350662, SEN S/N: 20350662)",Coupler Attached (LGR S/N: 20350662),Host Connected (LGR S/N: 20350662),Stopped (LGR S/N: 20350662),End Of File (LGR S/N: 20350662)
279,8/8/2018 13:30,83.043,,,,
280,8/8/2018 14:00,83.221,,,,
281,8/8/2018 14:30,83.399,,,,
282,8/8/2018 15:00,83.579,,,,
283,8/8/2018 15:30,83.579,,,,
284,8/8/2018 16:00,83.399,,,,
285,8/8/2018 16:30,83.399,,,,
286,8/8/2018 17:00,83.399,,,,
287,8/8/2018 17:30,83.221,,,,
288,8/8/2018 18:00,82.864,,,,
289,8/8/2018 18:30,82.686,,,,
290,8/8/2018 19:00,82.508,,,,
291,8/8/2018 19:30,82.508,,,,
292,8/8/2018 20:00,82.33,,,,
293,8/8/2018 20:30,82.152,,,,
294,8/8/2018 21:00,82.152,,,,
295,8/8/2018 21:30,81.975,,,,
296,8/8/2018 22:00,81.975,,,,
297,8/8/2018 22:30,81.797,,,,
298,8/8/2018 23:00,81.621,,,,
299,8/8/2018 23:30,81.621,,,,
300,8/9/2018 0:00,81.621,,,,
301,8/9/2018 0:30,81.442,,,,
302,8/9/2018 1:00,81.442,,,,
303,8/9/2018 1:30,81.442,,,,
304,8/9/2018 2:00,81.266,,,,
305,8/9/2018 2:30,81.266,,,,
306,8/9/2018 3:00,81.09,,,,
307,8/9/2018 3:30,80.911,,,,
308,8/9/2018 4:00,80.911,,,,
309,8/9/2018 4:30,80.735,,,,
310,8/9/2018 5:00,80.735,,,,
311,8/9/2018 5:30,80.735,,,,
312,8/9/2018 6:00,80.559,,,,
313,8/9/2018 6:30,80.559,,,,
314,8/9/2018 7:00,80.559,,,,
315,8/9/2018 7:30,80.559,,,,
316,8/9/2018 8:00,80.559,,,,
317,8/9/2018 8:30,80.559,,,,
318,8/9/2018 9:00,80.735,,,,
319,8/9/2018 9:30,80.735,,,,
320,8/9/2018 10:00,81.09,,,,
321,8/9/2018 10:30,81.797,,,,
322,8/9/2018 11:00,81.797,,,,
323,8/9/2018 11:30,81.442,,,,
324,8/9/2018 12:00,81.621,,,,
325,8/9/2018 12:30,81.797,,,,
326,8/9/2018 13:00,82.508,,,,
327,8/9/2018 13:30,83.043,,,,
328,8/9/2018 14:00,83.221,,,,
329,8/9/2018 14:30,83.399,,,,
330,8/9/2018 15:00,83.579,,,,
331,8/9/2018 15:30,83.757,,,,
332,8/9/2018 16:00,83.757,,,,
333,8/9/2018 16:30,83.221,,,,
334,8/9/2018 17:00,83.221,,,,
335,8/9/2018 17:30,83.043,,,,
336,8/9/2018 18:00,82.864,,,,
337,8/9/2018 18:30,82.686,,,,
338,8/9/2018 19:00,82.508,,,,
339,8/9/2018 19:30,82.508,,,,
340,8/9/2018 20:00,82.33,,,,
341,8/9/2018 20:30,82.33,,,,
342,8/9/2018 21:00,81.975,,,,
343,8/9/2018 21:30,81.797,,,,
344,8/9/2018 22:00,81.975,,,,
345,8/9/2018 22:30,81.797,,,,
346,8/9/2018 23:00,81.797,,,,
347,8/9/2018 23:30,81.621,,,,
348,8/10/2018 0:00,81.621,,,,
349,8/10/2018 0:30,81.621,,,,
350,8/10/2018 1:00,81.442,,,,
351,8/10/2018 1:30,81.442,,,,
352,8/10/2018 2:00,81.442,,,,
353,8/10/2018 2:30,81.442,,,,
354,8/10/2018 3:00,81.266,,,,
355,8/10/2018 3:30,81.266,,,,
356,8/10/2018 4:00,81.266,,,,
357,8/10/2018 4:30,81.09,,,,
358,8/10/2018 5:00,81.09,,,,
359,8/10/2018 5:30,81.09,,,,
360,8/10/2018 6:00,81.09,,,,
361,8/10/2018 6:30,81.09,,,,
362,8/10/2018 7:00,80.911,,,,
363,8/10/2018 7:30,81.09,,,,
364,8/10/2018 8:00,81.09,,,,
365,8/10/2018 8:30,80.911,,,,
366,8/10/2018 9:00,80.911,,,,
367,8/10/2018 9:30,80.735,,,,
368,8/10/2018 10:00,81.09,,,,
369,8/10/2018 10:30,81.266,,,,
370,8/10/2018 11:00,81.797,,,,
371,8/10/2018 11:30,82.152,,,,
372,8/10/2018 12:00,82.508,,,,
373,8/10/2018 12:30,82.686,,,,
374,8/10/2018 13:00,82.864,,,,
375,8/10/2018 13:30,82.864,,,,
376,8/10/2018 14:00,83.043,,,,
377,8/10/2018 14:30,82.686,,,,
378,8/10/2018 15:00,82.686,,,,
379,8/10/2018 15:30,82.33,,,,
380,8/10/2018 16:00,82.508,,,,
381,8/10/2018 16:30,83.043,,,,
382,8/10/2018 17:00,83.399,,,,
383,8/10/2018 17:30,83.221,,,,
384,8/10/2018 18:00,83.221,,,,
385,8/10/2018 18:30,83.399,,,,
386,8/10/2018 19:00,83.043,,,,
387,8/10/2018 19:30,83.221,,,,
388,8/10/2018 20:00,82.864,,,,
389,8/10/2018 20:30,82.864,,,,
390,8/10/2018 21:00,82.686,,,,
391,8/10/2018 21:30,82.864,,,,
392,8/10/2018 22:00,82.864,,,,
393,8/10/2018 22:30,82.686,,,,
394,8/10/2018 23:00,82.508,,,,
395,8/10/2018 23:30,82.508,,,,
396,8/11/2018 0:00,82.508,,,,
397,8/11/2018 0:30,82.33,,,,
398,8/11/2018 1:00,82.152,,,,
399,8/11/2018 1:30,82.152,,,,
400,8/11/2018 2:00,81.975,,,,
401,8/11/2018 2:30,81.975,,,,
402,8/11/2018 3:00,81.797,,,,
403,8/11/2018 3:30,81.621,,,,
404,8/11/2018 4:00,81.621,,,,
405,8/11/2018 4:30,81.442,,,,
406,8/11/2018 5:00,81.442,,,,
407,8/11/2018 5:30,81.266,,,,
408,8/11/2018 6:00,81.09,,,,
409,8/11/2018 6:30,81.09,,,,
410,8/11/2018 7:00,81.09,,,,
411,8/11/2018 7:30,80.911,,,,
412,8/11/2018 8:00,80.735,,,,
